入场点,类型,持有月,截止,原版收益%,T5收益%,T5-原版,原版笔数,T5笔数
2014-06-01,B类 策略最差起点,6,2014-12-31,2.65,19.28,16.63,36,101
2014-06-01,B类 策略最差起点,12,2015-06-30,65.96,125.91,59.95,77,187
2014-06-01,B类 策略最差起点,24,2016-06-30,72.53,180.30,107.77,141,285
2014-06-01,B类 策略最差起点,36,2017-06-30,68.63,140.37,71.74,165,388
2014-06-01,B类 策略最差起点,60,2019-06-30,58.58,139.70,81.12,241,593
2015-06-01,A类 股灾顶,6,2015-12-31,1.62,28.88,27.26,42,78
2015-06-01,A类 股灾顶,12,2016-06-30,-2.81,19.85,22.66,56,131
2015-06-01,A类 股灾顶,24,2017-06-30,-8.05,3.44,11.49,95,234
2015-06-01,A类 股灾顶,36,2018-06-30,-2.35,9.69,12.04,135,338
2015-06-01,A类 股灾顶,60,2020-06-30,-4.69,26.71,31.41,226,597
2018-01-01,A类 蓝筹顶,6,2018-07-31,-11.06,-4.23,6.83,36,49
2018-01-01,A类 蓝筹顶,12,2019-01-31,-13.64,-19.22,-5.58,37,94
2018-01-01,A类 蓝筹顶,24,2020-01-31,-12.06,-10.97,1.10,98,217
2018-01-01,A类 蓝筹顶,36,2021-01-31,-9.08,26.17,35.26,178,418
2018-01-01,A类 蓝筹顶,60,2023-01-31,-1.39,42.25,43.64,264,839
2021-02-01,A类 核心资产顶,6,2021-08-31,8.64,15.09,6.45,45,132
2021-02-01,A类 核心资产顶,12,2022-02-28,9.71,-1.46,-11.16,94,262
2021-02-01,A类 核心资产顶,24,2023-02-28,17.23,-3.99,-21.22,164,446
2021-02-01,A类 核心资产顶,36,2024-02-29,7.07,-12.42,-19.49,206,627
2021-02-01,A类 核心资产顶,60,2026-02-28,128.55,98.97,-29.58,357,1008
