start,end,len_months
2010-04-01,2011-03-31,12
2011-12-01,2012-11-30,12
2013-09-01,2014-08-31,12
2017-09-01,2018-08-31,12
2019-07-01,2020-06-30,12
2020-10-01,2021-09-30,12
2022-11-01,2023-10-31,12
2024-02-01,2025-01-31,12
2011-11-01,2013-10-31,24
2012-11-01,2014-10-31,24
2015-05-01,2017-04-30,24
2015-10-01,2017-09-30,24
2016-11-01,2018-10-31,24
2018-09-01,2020-08-31,24
2020-06-01,2022-05-31,24
2022-02-01,2024-01-31,24
2012-08-01,2016-07-31,48
2018-01-01,2021-12-31,48
2019-04-01,2023-03-31,48
2020-05-01,2024-04-30,48
2020-10-01,2024-09-30,48
2021-06-01,2025-05-31,48
2021-09-01,2025-08-31,48
2010-08-01,2017-07-31,84
2013-05-01,2020-04-30,84
2014-06-01,2021-05-31,84
2014-11-01,2021-10-31,84
2016-06-01,2023-05-31,84
2017-09-01,2024-08-31,84
2017-10-01,2024-09-30,84
