start,end,len_months,base_pct,h5s9_pct
2011-03-01,2016-02-29,60,35.9233,51.8510
2022-02-01,2025-01-31,36,6.6063,47.1523
2011-11-01,2019-10-31,96,53.5555,48.9126
2020-10-01,2022-09-30,24,-11.8061,4.1750
2021-02-01,2024-01-31,36,7.0688,11.4428
2014-12-01,2016-11-30,24,495.2133,33.2856
2010-01-01,2017-12-31,96,20.5967,18.6185
2010-09-01,2015-08-31,60,25.7124,4.9527
2017-12-01,2022-11-30,60,-3.0197,11.5723
2017-06-01,2020-05-31,36,-2.4900,2.2834
2014-03-01,2022-02-28,96,38.3473,85.5245
2016-02-01,2019-01-31,36,-27.7009,-6.4384
2025-07-01,2026-06-30,12,3.2060,20.1244
2012-07-01,2017-06-30,60,61.2727,5.5571
2016-07-01,2024-06-30,96,-15.7143,13.7299
2014-01-01,2014-12-31,12,-21.6035,5.3630
2010-08-01,2018-07-31,96,38.2681,35.6154
2019-05-01,2021-04-30,24,26.0493,-22.9570
2023-01-01,2023-12-31,12,-7.9263,-0.6637
2012-08-01,2014-07-31,24,21.9658,-25.6622
2015-04-01,2017-03-31,24,39.3479,72.4832
2011-02-01,2019-01-31,96,25.0780,48.1835
2017-12-01,2020-11-30,36,-14.6981,-4.0615
2018-10-01,2019-09-30,12,30.0088,-12.1258
2015-02-01,2020-01-31,60,101.5348,53.1869
2015-06-01,2017-05-31,24,0.0909,21.0476
2010-04-01,2015-03-31,60,-42.0632,-35.9029
2014-09-01,2015-08-31,12,41.9261,20.2401
2014-06-01,2015-05-31,12,-42.5755,19.9828
2013-07-01,2016-06-30,36,118.1789,46.9916
